FIPS,County,svi_overall_rank
45001,Abbeville,0.8564
45003,Aiken,0.6666
45005,Allendale,0.993
45007,Anderson,0.701
45009,Bamberg,0.9516
45011,Barnwell,0.9904
45013,Beaufort,0.4006
45015,Berkeley,0.5146
45017,Calhoun,0.5627
45019,Charleston,0.3156
45021,Cherokee,0.6978
45023,Chester,0.7363
45025,Chesterfield,0.9487
45027,Clarendon,0.9793
45029,Colleton,0.8
45031,Darlington,0.9268
45033,Dillon,0.9682
45035,Dorchester,0.4188
45037,Edgefield,0.8484
45039,Fairfield,0.7484
45041,Florence,0.8987
45043,Georgetown,0.6771
45045,Greenville,0.5038
45047,Greenwood,0.9344
45049,Hampton,0.8032
45051,Horry,0.6102
45053,Jasper,0.9449
45055,Kershaw,0.4959
45057,Lancaster,0.5121
45059,Laurens,0.9172
45061,Lee,0.921
45063,Lexington,0.442
45065,McCormick,0.7373
45067,Marion,0.9293
45069,Marlboro,0.9869
45071,Newberry,0.9232
45073,Oconee,0.7293
45075,Orangeburg,0.9229
45077,Pickens,0.599
45079,Richland,0.6309
45081,Saluda,0.7949
45083,Spartanburg,0.7618
45085,Sumter,0.9732
45087,Union,0.8678
45089,Williamsburg,0.9704
45091,York,0.3662
